"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\collector.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\collector_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\delete.svg", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\eraser.svg", "XML", 0, 24, 0, 0, 1, 25
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\gou.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\cloth.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\cloud.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\love.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\qq.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\material.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\material_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\pencil.svg", "XML", 0, 19, 0, 0, 1, 20
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\plant_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\recorder.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\shape.svg", "XML", 0, 19, 0, 0, 1, 20
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\stop.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\texture_black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\video_black.svg", "XML", 0, 1, 0, 0, 0, 1
"Total", "-", 205, 0, 0, 13, 17, 235
